table,year,sex,class,type,estimate
904,2015,1,W1,4,667
904,2015,1,W2,4,179
904,2015,1,W3,4,1549
904,2015,1,W4,4,1564
904,2015,1,W5,4,924
904,2015,1,W6,4,902
904,2015,1,W7,4,565
904,2015,1,W8,4,1399
904,2015,1,W9,4,1641
904,2015,1,W10,4,386
904,2015,1,W11,4,106
904,2015,1,W12,4,173
904,2015,1,W13,4,539
904,2015,1,W14,4,905
904,2015,1,W15,4,1724
904,2015,1,W1,5,4.6
904,2015,1,W2,5,9.3
904,2015,1,W3,5,1
904,2015,1,W4,5,1
904,2015,1,W5,5,4.5
904,2015,1,W6,5,3.6
904,2015,1,W7,5,5
904,2015,1,W8,5,1.8
904,2015,1,W9,5,0.8
904,2015,1,W10,5,6.7
904,2015,1,W11,5,14.8
904,2015,1,W12,5,10.1
904,2015,1,W13,5,6.4
904,2015,1,W14,5,3.4
904,2015,1,W15,5,0
904,2015,1,W1,6,
904,2015,1,W2,6,
904,2015,1,W3,6,
904,2015,1,W4,6,
904,2015,1,W5,6,
904,2015,1,W6,6,
904,2015,1,W7,6,
904,2015,1,W8,6,
904,2015,1,W9,6,
904,2015,1,W10,6,
904,2015,1,W11,6,
904,2015,1,W12,6,
904,2015,1,W13,6,
904,2015,1,W14,6,
904,2015,1,W15,6,
904,2015,1,W1,7,
904,2015,1,W2,7,
904,2015,1,W3,7,
904,2015,1,W4,7,
904,2015,1,W5,7,
904,2015,1,W6,7,
904,2015,1,W7,7,
904,2015,1,W8,7,
904,2015,1,W9,7,
904,2015,1,W10,7,
904,2015,1,W11,7,
904,2015,1,W12,7,
904,2015,1,W13,7,
904,2015,1,W14,7,
904,2015,1,W15,7,
904,2015,2,W1,4,729
904,2015,2,W2,4,170
904,2015,2,W3,4,1641
904,2015,2,W4,4,1664
904,2015,2,W5,4,979
904,2015,2,W6,4,966
904,2015,2,W7,4,477
904,2015,2,W8,4,1448
904,2015,2,W9,4,1743
904,2015,2,W10,4,400
904,2015,2,W11,4,101
904,2015,2,W12,4,278
904,2015,2,W13,4,594
904,2015,2,W14,4,989
904,2015,2,W15,4,1831
904,2015,2,W1,5,3.9
904,2015,2,W2,5,10.7
904,2015,2,W3,5,1.3
904,2015,2,W4,5,1.1
904,2015,2,W5,5,4.6
904,2015,2,W6,5,3.3
904,2015,2,W7,5,5.1
904,2015,2,W8,5,1.9
904,2015,2,W9,5,0.8
904,2015,2,W10,5,5.9
904,2015,2,W11,5,13.5
904,2015,2,W12,5,7.4
904,2015,2,W13,5,5.9
904,2015,2,W14,5,3
904,2015,2,W15,5,0
904,2015,2,W1,6,
904,2015,2,W2,6,
904,2015,2,W3,6,
904,2015,2,W4,6,
904,2015,2,W5,6,
904,2015,2,W6,6,
904,2015,2,W7,6,
904,2015,2,W8,6,
904,2015,2,W9,6,
904,2015,2,W10,6,
904,2015,2,W11,6,
904,2015,2,W12,6,
904,2015,2,W13,6,
904,2015,2,W14,6,
904,2015,2,W15,6,
904,2015,2,W1,7,
904,2015,2,W2,7,
904,2015,2,W3,7,
904,2015,2,W4,7,
904,2015,2,W5,7,
904,2015,2,W6,7,
904,2015,2,W7,7,
904,2015,2,W8,7,
904,2015,2,W9,7,
904,2015,2,W10,7,
904,2015,2,W11,7,
904,2015,2,W12,7,
904,2015,2,W13,7,
904,2015,2,W14,7,
904,2015,2,W15,7,
904,2015,3,W1,4,1395
904,2015,3,W2,4,350
904,2015,3,W3,4,3190
904,2015,3,W4,4,3228
904,2015,3,W5,4,1903
904,2015,3,W6,4,1868
904,2015,3,W7,4,1042
904,2015,3,W8,4,2847
904,2015,3,W9,4,3384
904,2015,3,W10,4,786
904,2015,3,W11,4,207
904,2015,3,W12,4,451
904,2015,3,W13,4,1133
904,2015,3,W14,4,1894
904,2015,3,W15,4,3555
904,2015,3,W1,5,3.9
904,2015,3,W2,5,8.8
904,2015,3,W3,5,1
904,2015,3,W4,5,0.8
904,2015,3,W5,5,4.3
904,2015,3,W6,5,2.9
904,2015,3,W7,5,4.3
904,2015,3,W8,5,1.5
904,2015,3,W9,5,0.6
904,2015,3,W10,5,5.9
904,2015,3,W11,5,12.8
904,2015,3,W12,5,6.9
904,2015,3,W13,5,5.4
904,2015,3,W14,5,2.7
904,2015,3,W15,5,0
904,2015,3,W1,6,
904,2015,3,W2,6,
904,2015,3,W3,6,
904,2015,3,W4,6,
904,2015,3,W5,6,
904,2015,3,W6,6,
904,2015,3,W7,6,
904,2015,3,W8,6,
904,2015,3,W9,6,
904,2015,3,W10,6,
904,2015,3,W11,6,
904,2015,3,W12,6,
904,2015,3,W13,6,
904,2015,3,W14,6,
